"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/12/2021","31,71","31,41","-0,32","31,09","32,14","456,94M"
"15/12/2021","32,21","31,51","-1,72","30,74","32,23","703,12M"
"14/12/2021","32,48","32,06","0,00","31,90","32,92","468,73M"
"13/12/2021","32,33","32,06","-0,83","32,06","32,90","321,17M"
"10/12/2021","32,09","32,33","1,50","31,85","32,70","267,71M"
"09/12/2021","32,63","31,85","-2,23","31,71","32,75","310,70M"
"08/12/2021","32,61","32,58","0,46","32,13","32,78","334,93M"
"07/12/2021","33,42","32,43","-1,42","32,31","33,42","414,28M"
"06/12/2021","32,56","32,90","2,70","32,45","33,42","703,84M"
"03/12/2021","32,04","32,03","0,12","31,66","32,49","556,30M"
"02/12/2021","31,52","31,99","2,75","31,47","32,23","564,26M"
"01/12/2021","32,33","31,13","-1,70","31,13","32,63","824,26M"
"30/11/2021","30,55","31,67","3,34","30,06","31,67","1,01B"
"29/11/2021","31,02","30,65","0,16","30,65","31,47","361,72M"
"26/11/2021","30,59","30,60","-3,30","30,39","31,07","408,86M"
"25/11/2021","30,21","31,64","5,19","30,14","31,64","772,47M"
"24/11/2021","29,24","30,08","1,85","29,16","30,19","413,60M"
"23/11/2021","28,73","29,53","4,18","28,15","29,61","472,52M"
"22/11/2021","28,70","28,35","-0,55","28,28","28,98","448,19M"
"19/11/2021","28,60","28,51","-0,14","28,37","28,76","526,04M"
"18/11/2021","28,82","28,55","-0,75","28,36","28,90","554,66M"
"17/11/2021","29,20","28,76","-1,41","28,74","29,54","400,81M"
"16/11/2021","29,71","29,17","-1,39","28,98","29,88","257,51M"
"12/11/2021","29,74","29,59","-0,17","29,41","30,11","259,22M"
"11/11/2021","30,52","29,64","-1,92","29,64","30,55","641,60M"
"10/11/2021","28,97","30,21","4,59","28,95","30,49","613,17M"
"09/11/2021","29,83","28,89","-0,14","28,89","30,05","609,30M"
"08/11/2021","28,46","28,93","0,65","28,38","29,11","229,97M"
"05/11/2021","28,46","28,74","2,23","28,34","29,02","217,41M"
"04/11/2021","28,84","28,11","-2,35","27,94","28,97","311,24M"
"03/11/2021","28,51","28,79","0,65","28,38","29,28","316,79M"
"01/11/2021","n/d","28,60","2,28","28,28","29,04","224,08M"
"29/10/2021","28,62","27,97","-1,42","27,86","28,62","312,01M"
"28/10/2021","28,70","28,37","-0,89","28,10","28,74","253,94M"
"27/10/2021","28,73","28,62","-0,10","28,62","29,34","217,17M"
"26/10/2021","28,74","28,65","-1,05","28,41","28,99","318,49M"
"25/10/2021","28,53","28,96","2,08","28,53","29,23","317,74M"
"22/10/2021","29,09","28,37","-3,05","27,39","29,09","925,32M"
"21/10/2021","29,93","29,26","-4,24","28,80","30,37","703,59M"
"20/10/2021","30,42","30,56","1,67","29,98","30,95","384,46M"
"19/10/2021","31,27","30,06","-4,91","29,97","31,27","692,98M"
"18/10/2021","30,67","31,61","1,99","30,56","31,76","468,02M"
"15/10/2021","30,23","30,99","3,17","30,03","31,21","380,66M"
"14/10/2021","30,40","30,04","-0,49","29,98","30,56","319,56M"
"13/10/2021","30,15","30,18","0,13","29,77","30,39","305,71M"
"11/10/2021","30,48","30,15","-0,78","30,02","30,60","232,95M"
"08/10/2021","29,93","30,38","2,11","29,91","30,65","408,10M"
"07/10/2021","30,16","29,75","-1,04","29,62","30,50","348,38M"
"06/10/2021","29,59","30,07","0,16","29,27","30,17","470,36M"
"05/10/2021","28,75","30,02","4,76","28,64","30,20","863,11M"
