"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/12/2021","17,24","17,32","1,05","17,00","17,46","133,92M"
"15/12/2021","17,20","17,14","-0,06","16,87","17,28","105,74M"
"14/12/2021","17,10","17,15","1,36","17,00","17,70","184,19M"
"13/12/2021","17,20","16,92","-1,63","16,92","17,50","75,98M"
"10/12/2021","17,32","17,20","0,00","17,01","17,42","105,79M"
"09/12/2021","17,76","17,20","-2,99","17,10","17,77","85,90M"
"08/12/2021","17,94","17,73","-0,28","17,43","17,94","106,44M"
"07/12/2021","18,30","17,78","-1,33","17,71","18,34","92,73M"
"06/12/2021","17,95","18,02","1,18","17,88","18,49","225,86M"
"03/12/2021","17,75","17,81","0,28","17,72","18,14","191,41M"
"02/12/2021","17,21","17,76","5,03","17,11","17,82","195,73M"
"01/12/2021","17,22","16,91","-0,53","16,89","17,50","164,41M"
"30/11/2021","17,39","17,00","-2,41","16,79","17,41","275,98M"
"29/11/2021","17,73","17,42","-0,57","17,34","17,81","76,70M"
"26/11/2021","17,71","17,52","-3,52","17,24","17,71","92,57M"
"25/11/2021","18,16","18,16","0,39","17,97","18,37","101,97M"
"24/11/2021","17,56","18,09","1,80","17,50","18,13","126,09M"
"23/11/2021","17,44","17,77","2,48","17,11","17,77","136,56M"
"22/11/2021","17,47","17,34","-1,31","17,30","17,85","90,50M"
"19/11/2021","17,44","17,57","0,17","17,32","17,72","151,23M"
"18/11/2021","17,85","17,54","-1,24","17,18","17,86","144,52M"
"17/11/2021","17,84","17,76","0,34","17,55","17,93","181,64M"
"16/11/2021","17,86","17,70","-0,22","17,43","18,00","103,90M"
"12/11/2021","17,67","17,74","0,34","17,39","18,01","141,72M"
"11/11/2021","17,78","17,68","0,97","17,53","17,80","118,16M"
"10/11/2021","16,72","17,51","4,72","16,65","17,81","229,37M"
"09/11/2021","16,96","16,72","-0,77","16,64","17,26","136,78M"
"08/11/2021","17,08","16,85","-1,98","16,85","17,39","90,25M"
"05/11/2021","17,11","17,19","4,05","16,92","17,39","164,65M"
"04/11/2021","17,49","16,52","-5,43","16,46","17,65","212,97M"
"03/11/2021","17,33","17,47","-0,23","17,28","17,76","182,19M"
"01/11/2021","n/d","17,51","3,24","17,12","17,66","100,44M"
"29/10/2021","17,44","16,96","-2,30","16,96","17,50","88,98M"
"28/10/2021","17,45","17,36","-0,97","17,17","17,61","73,62M"
"27/10/2021","17,34","17,53","1,68","17,34","17,90","83,08M"
"26/10/2021","17,56","17,24","-2,32","17,22","17,58","85,01M"
"25/10/2021","17,51","17,65","1,61","17,50","17,89","95,85M"
"22/10/2021","17,85","17,37","-3,28","16,73","17,85","287,52M"
"21/10/2021","17,97","17,96","-2,49","17,75","18,49","214,80M"
"20/10/2021","17,98","18,42","3,30","17,88","18,54","147,26M"
"19/10/2021","18,12","17,83","-3,30","17,71","18,24","119,71M"
"18/10/2021","18,16","18,44","0,82","18,01","18,57","124,25M"
"15/10/2021","17,55","18,29","4,68","17,52","18,37","250,71M"
"14/10/2021","17,68","17,47","-0,96","17,27","17,74","176,03M"
"13/10/2021","17,56","17,64","0,51","17,17","17,66","158,53M"
"11/10/2021","17,88","17,55","-1,90","17,51","17,93","98,40M"
"08/10/2021","17,71","17,89","1,53","17,71","18,29","135,45M"
"07/10/2021","18,06","17,62","-2,11","17,62","18,14","148,70M"
"06/10/2021","17,72","18,00","0,39","17,56","18,00","135,54M"
"05/10/2021","17,69","17,93","2,33","17,52","18,10","111,73M"
