"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/12/2021","19,62","19,76","1,02","19,50","19,80","23,96M"
"15/12/2021","19,62","19,56","-0,26","19,27","19,70","13,36M"
"14/12/2021","19,56","19,61","0,46","19,49","19,94","23,67M"
"13/12/2021","19,96","19,52","-2,20","19,52","20,19","25,07M"
"10/12/2021","19,96","19,96","0,05","19,72","20,15","15,13M"
"09/12/2021","20,41","19,95","-2,25","19,77","20,41","21,24M"
"08/12/2021","20,61","20,41","-0,92","20,25","20,72","13,65M"
"07/12/2021","20,90","20,60","-1,34","20,51","21,07","10,41M"
"06/12/2021","20,64","20,88","0,87","20,64","21,26","15,53M"
"03/12/2021","20,66","20,70","0,19","20,53","21,10","14,35M"
"02/12/2021","20,12","20,66","3,25","20,10","20,76","20,44M"
"01/12/2021","20,14","20,01","-0,35","19,90","20,49","21,93M"
"30/11/2021","20,26","20,08","-0,89","19,81","20,37","22,28M"
"29/11/2021","20,50","20,26","-0,39","20,22","20,67","19,89M"
"26/11/2021","20,38","20,34","-2,26","20,10","20,44","17,35M"
"25/11/2021","20,59","20,81","0,87","20,55","21,00","20,26M"
"24/11/2021","20,05","20,63","2,69","19,94","20,64","17,66M"
"23/11/2021","20,07","20,09","0,85","19,72","20,13","15,81M"
"22/11/2021","19,99","19,92","-0,15","19,81","20,28","27,28M"
"19/11/2021","20,00","19,95","-0,20","19,77","20,10","36,06M"
"18/11/2021","20,33","19,99","-1,70","19,79","20,36","22,47M"
"17/11/2021","20,37","20,33","-0,15","20,15","20,59","23,05M"
"16/11/2021","20,60","20,36","-1,10","20,07","20,78","22,29M"
"12/11/2021","20,58","20,59","-0,14","20,29","20,81","16,56M"
"11/11/2021","20,76","20,62","0,05","20,37","20,89","20,55M"
"10/11/2021","20,11","20,61","2,50","20,06","20,95","20,94M"
"09/11/2021","20,36","20,11","-1,07","19,99","20,64","22,96M"
"08/11/2021","20,37","20,32","-0,24","20,23","20,69","15,16M"
"05/11/2021","20,99","20,37","-1,24","20,16","20,99","31,52M"
"04/11/2021","21,70","20,63","-4,95","20,62","21,83","32,71M"
"03/11/2021","21,40","21,71","1,10","21,28","21,96","25,88M"
"01/11/2021","n/d","21,47","3,72","20,90","21,47","28,79M"
"29/10/2021","21,16","20,70","-1,96","20,68","21,35","14,53M"
"28/10/2021","21,02","21,11","-0,65","20,85","21,29","20,16M"
"27/10/2021","21,20","21,25","0,33","21,12","21,67","27,39M"
"26/10/2021","21,35","21,18","-0,92","20,98","21,35","24,59M"
"25/10/2021","20,93","21,38","2,26","20,93","21,59","23,92M"
"22/10/2021","21,56","20,91","-3,54","20,29","21,56","41,04M"
"21/10/2021","21,61","21,67","-1,48","21,29","22,10","30,62M"
"20/10/2021","21,65","22,00","2,62","21,45","22,05","38,58M"
"19/10/2021","21,84","21,44","-2,59","21,36","21,84","17,63M"
"18/10/2021","21,62","22,01","1,09","21,39","22,11","37,23M"
"15/10/2021","21,32","21,77","2,03","21,26","21,83","40,46M"
"14/10/2021","21,51","21,34","-0,78","21,09","21,64","45,52M"
"13/10/2021","21,55","21,51","-0,09","21,00","21,55","28,63M"
"11/10/2021","22,01","21,53","-1,97","21,42","22,02","32,25M"
"08/10/2021","21,86","21,96","0,54","21,86","22,33","38,57M"
"07/10/2021","22,29","21,84","-1,55","21,71","22,36","50,66M"
"06/10/2021","21,63","22,19","0,63","21,48","22,21","82,86M"
"05/10/2021","21,90","22,05","0,63","21,63","22,28","76,39M"
