"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"14/12/2021","22,30","23,57","6,80","22,20","23,57","201,78M"
"13/12/2021","22,02","22,07","0,23","21,76","22,35","55,86M"
"10/12/2021","22,28","22,02","0,09","21,92","22,43","75,08M"
"09/12/2021","22,41","22,00","-2,61","21,82","22,51","112,75M"
"08/12/2021","21,72","22,59","6,31","21,65","22,71","239,54M"
"07/12/2021","21,28","21,25","1,92","20,79","21,75","162,28M"
"06/12/2021","20,75","20,85","-0,10","20,59","21,49","156,27M"
"03/12/2021","21,84","20,87","-5,74","20,19","21,84","303,95M"
"02/12/2021","22,13","22,14","1,23","21,94","22,33","103,61M"
"01/12/2021","23,83","21,87","-7,21","21,82","23,96","242,23M"
"30/11/2021","23,88","23,57","-1,30","22,82","23,88","160,55M"
"29/11/2021","24,06","23,88","0,76","23,72","24,24","78,94M"
"26/11/2021","23,80","23,70","-3,07","23,56","24,33","96,65M"
"25/11/2021","25,30","24,45","-2,86","24,41","25,30","105,04M"
"24/11/2021","25,82","25,17","-2,14","25,17","25,82","100,96M"
"23/11/2021","25,45","25,72","2,67","25,02","25,76","120,69M"
"22/11/2021","25,83","25,05","-3,24","25,05","26,11","127,45M"
"19/11/2021","25,92","25,89","-0,38","25,65","26,55","135,83M"
"18/11/2021","25,59","25,99","2,20","25,25","25,99","108,04M"
"17/11/2021","26,01","25,43","-1,09","25,04","26,09","132,14M"
"16/11/2021","26,50","25,71","-3,02","25,10","26,50","230,97M"
"12/11/2021","26,33","26,51","1,38","25,87","26,60","162,53M"
"11/11/2021","26,40","26,15","0,58","26,00","26,68","448,93M"
"10/11/2021","26,98","26,00","-3,13","25,85","27,10","181,64M"
"09/11/2021","26,85","26,84","-0,15","26,36","27,49","148,79M"
"08/11/2021","26,34","26,88","1,93","26,20","27,00","133,32M"
"05/11/2021","26,99","26,37","-1,53","26,33","27,05","138,56M"
"04/11/2021","25,85","26,78","3,60","25,79","27,07","218,66M"
"03/11/2021","25,23","25,85","1,61","24,79","26,10","187,44M"
"01/11/2021","n/d","25,44","-4,00","25,05","27,04","256,90M"
"29/10/2021","25,26","26,50","5,33","24,93","26,94","280,29M"
"28/10/2021","25,12","25,16","-0,44","24,85","25,67","277,99M"
"27/10/2021","25,21","25,27","2,68","24,73","25,54","261,15M"
"26/10/2021","24,52","24,61","-0,85","24,52","25,31","178,47M"
"25/10/2021","25,33","24,82","-1,19","24,65","25,36","173,74M"
"22/10/2021","25,12","25,12","-0,67","24,40","25,67","261,52M"
"21/10/2021","25,26","25,29","-1,52","24,74","25,67","207,67M"
"20/10/2021","25,86","25,68","-1,31","25,64","26,31","160,18M"
"19/10/2021","26,23","26,02","-1,77","25,84","26,75","216,33M"
"18/10/2021","26,99","26,49","-2,43","26,35","27,47","179,59M"
"15/10/2021","27,84","27,15","-1,99","27,15","27,97","129,18M"
"14/10/2021","27,12","27,70","2,37","26,94","28,06","214,85M"
"13/10/2021","26,50","27,06","2,66","26,32","27,53","187,06M"
"11/10/2021","26,20","26,36","0,80","26,03","26,65","123,32M"
"08/10/2021","25,84","26,15","1,71","25,55","26,35","131,32M"
"07/10/2021","26,18","25,71","-1,27","25,52","26,18","188,63M"
"06/10/2021","25,98","26,04","-0,72","25,56","26,51","276,89M"
"05/10/2021","25,90","26,23","1,47","25,75","26,50","213,72M"
"04/10/2021","25,52","25,85","0,19","25,48","26,23","134,07M"
"01/10/2021","25,65","25,80","0,55","25,33","25,93","185,53M"
