"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/12/2021","79,00","80,44","3,91","78,46","80,46","2,10B"
"15/12/2021","78,08","77,41","-0,57","76,20","78,18","1,71B"
"14/12/2021","78,52","77,85","-0,01","77,23","78,89","1,64B"
"13/12/2021","77,50","77,86","2,92","77,39","78,73","2,05B"
"10/12/2021","75,50","75,65","0,63","74,84","76,20","1,27B"
"09/12/2021","74,89","75,18","-0,77","74,45","75,95","1,27B"
"08/12/2021","76,99","75,76","-0,75","74,98","76,99","1,84B"
"07/12/2021","78,28","76,33","0,74","76,10","79,81","2,88B"
"06/12/2021","72,87","75,77","5,43","71,96","75,99","2,16B"
"03/12/2021","73,09","71,87","-2,20","71,00","74,34","2,49B"
"02/12/2021","70,97","73,49","4,64","70,11","73,56","1,80B"
"01/12/2021","71,30","70,23","0,40","69,97","71,95","2,00B"
"30/11/2021","69,00","69,95","0,65","68,69","71,47","2,98B"
"29/11/2021","70,28","69,50","1,25","69,16","70,60","1,27B"
"26/11/2021","67,50","68,64","-2,64","67,50","69,36","1,55B"
"25/11/2021","71,29","70,50","-0,68","69,80","71,29","1,21B"
"24/11/2021","70,11","70,98","2,32","69,51","70,98","1,46B"
"23/11/2021","70,61","69,37","2,63","69,21","71,97","2,13B"
"22/11/2021","65,55","67,59","5,56","65,15","69,02","3,03B"
"19/11/2021","63,27","64,03","2,73","62,81","64,80","1,71B"
"18/11/2021","64,21","62,33","-4,11","61,85","64,65","3,22B"
"17/11/2021","66,99","65,00","-2,01","65,00","67,71","1,68B"
"16/11/2021","68,00","66,33","-2,88","66,19","68,07","1,15B"
"12/11/2021","67,18","68,30","0,43","67,01","69,59","1,68B"
"11/11/2021","68,46","68,01","3,53","67,60","69,26","1,97B"
"10/11/2021","64,61","65,69","-0,38","64,40","66,28","1,47B"
"09/11/2021","67,25","65,94","-2,46","65,23","67,30","1,38B"
"08/11/2021","64,40","67,60","5,44","64,33","68,15","1,85B"
"05/11/2021","66,43","64,11","-2,97","64,00","66,66","2,31B"
"04/11/2021","66,89","66,07","-1,14","65,62","67,62","1,98B"
"03/11/2021","70,60","66,83","-7,59","66,61","70,90","5,21B"
"01/11/2021","n/d","72,32","0,99","71,15","72,86","1,27B"
"29/10/2021","73,02","71,61","-2,84","71,02","73,16","2,16B"
"28/10/2021","74,45","73,70","-1,01","73,55","74,68","1,67B"
"27/10/2021","75,98","74,45","-2,27","74,45","76,73","1,50B"
"26/10/2021","77,01","76,18","-1,06","76,07","77,07","1,27B"
"25/10/2021","77,20","77,00","1,21","76,37","77,57","1,38B"
"22/10/2021","74,67","76,08","1,22","74,64","77,10","2,67B"
"21/10/2021","74,50","75,16","-1,64","72,95","75,16","2,35B"
"20/10/2021","78,37","76,41","-3,28","76,28","78,37","2,09B"
"19/10/2021","79,72","79,00","-1,15","78,81","80,24","1,64B"
"18/10/2021","79,91","79,92","-0,94","78,48","80,40","1,65B"
"15/10/2021","79,49","80,68","1,87","79,30","80,95","2,08B"
"14/10/2021","79,99","79,20","0,00","79,13","80,24","1,90B"
"13/10/2021","80,80","79,20","-2,97","79,17","80,80","2,52B"
"11/10/2021","81,90","81,62","2,22","80,74","83,10","2,32B"
"08/10/2021","81,46","79,85","0,62","79,59","81,84","2,99B"
"07/10/2021","78,34","79,36","2,98","77,71","80,37","2,63B"
"06/10/2021","74,06","77,06","2,82","73,92","77,27","2,06B"
"05/10/2021","75,99","74,95","-0,72","74,95","76,10","1,64B"
